,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,Timestamp
5,3408,USDC,USDC,usd-coin,21391,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'base-ecosystem', 'fiat-stablecoin']",,34418439418.04683,34418439418.04683,False,,6,,,,2024-08-07T13:27:00.000Z,0.9999205544686296,9096056705.650314,-34.5325,-0.00954801,0.02710458,-0.00479372,0.00174491,-0.00368457,0.00719864,34415705026.838326,1.7141,34415705026.84,,2024-08-07T13:27:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-08-07 13:29:17.452722
6,52,XRP,XRP,xrp,1361,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55999283950.0,99987385748.0,False,,7,,,,2024-08-07T13:28:00.000Z,0.5123259863668997,1426646301.4546356,-38.0897,-0.80966476,2.19536345,-21.46056999,16.45503904,4.14360718,-0.2490917,28689888385.52385,1.4289,51232598636.69,,2024-08-07T13:28:00.000Z,,,,,,2024-08-07 13:29:17.452722
7,74,Dogecoin,DOGE,dogecoin,1034,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,145435696383.70526,145435696383.70526,True,,8,,,,2024-08-07T13:28:00.000Z,0.10082281550431246,986529113.2004259,-40.853,0.80643502,5.6764226,-20.3483988,-7.93720129,-30.07425732,-31.49883723,14663236384.23552,0.7303,14663236384.24,,2024-08-07T13:28:00.000Z,,,,,,2024-08-07 13:29:17.452722
8,11419,Toncoin,TON,toncoin,492,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2518260013.7773733,5110131070.83918,True,,9,3414166606.0,19432235463.340473,,2024-08-07T13:27:00.000Z,5.691648271994279,315296355.68811256,-39.6059,0.05105112,4.31694189,-16.66748861,-21.32315392,-19.59579574,-6.03131147,14333050255.848276,0.7139,29085068679.01,,2024-08-07T13:27:00.000Z,,,,,,2024-08-07 13:29:17.452722
9,2010,Cardano,ADA,cardano,1220,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35925617164.15,37102998493.685,False,,10,,,,2024-08-07T13:27:00.000Z,0.3342458563151882,330131891.40021557,-43.0647,0.00144927,3.94175772,-17.41864736,-11.63956422,-23.00350373,-26.19450185,12007988672.682941,0.5981,15041063534.18,,2024-08-07T13:27:00.000Z,,,,,,2024-08-07 13:29:17.452722
10,1958,TRON,TRX,tron,1006,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87002933754.32945,87002981251.35948,True,,11,71659659264.0,8933528644.018053,,2024-08-07T13:27:00.000Z,0.12466607761985314,316347469.958866,-42.6869,0.22019929,1.63946944,-5.37741754,-0.79039767,10.34526671,-1.07028524,10846314492.572176,0.5402,10846320413.84,,2024-08-07T13:27:00.000Z,,,,,,2024-08-07 13:29:17.452722
11,5805,Avalanche,AVAX,avalanche,761,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,395071490.61797374,444417860.61797374,False,,12,,,,2024-08-07T13:27:00.000Z,20.931279189355596,308612605.68015254,-37.7967,-0.20550794,3.85032885,-21.19080558,-22.20460814,-35.09291384,-38.6242821,8269351669.879688,0.4119,14981536266.81,,2024-08-07T13:27:00.000Z,,,,,,2024-08-07 13:29:17.452722
12,5994,Shiba Inu,SHIB,shiba-inu,854,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589270512553780.6,589519077600533.2,False,,13,,,,2024-08-07T13:27:00.000Z,1.372728707244537e-05,317051349.9516602,-51.6054,0.16203557,3.87895148,-17.21171631,-17.56882817,-40.62438512,-39.40319039,8089085489.15277,0.4029,8092497612.91,,2024-08-07T13:27:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-08-07 13:29:17.452722
13,6636,Polkadot,DOT,polkadot-new,798,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1478142178.6255195,1478142178.6255195,True,,14,1478142178.6235194,6769185325.992054,,2024-08-07T13:28:00.000Z,4.579522473471177,190776330.17169875,-30.9097,0.26090172,5.66340175,-17.41133913,-25.4958623,-28.2556791,-33.69249558,6769185326.001213,0.3371,6769185326.0,,2024-08-07T13:28:00.000Z,,,,,,2024-08-07 13:29:17.452722
14,1831,Bitcoin Cash,BCH,bitcoin-cash,909,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19743640.625,19743640.625,False,,15,,,,2024-08-07T13:27:00.000Z,325.4625507643876,280259865.7475327,-37.9094,0.74046706,5.22193522,-23.61040995,-3.08242131,-30.88642153,-27.34717517,6425815639.187887,0.32,6834713566.05,,2024-08-07T13:27:00.000Z,,,,,,2024-08-07 13:29:17.452722
0,1,Bitcoin,BTC,bitcoin,11628,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19736753.0,19736753.0,False,,1,,,,2024-08-07T13:29:00.000Z,57198.815045716074,43699276764.66606,-32.3881,0.00915443,3.7099155,-13.89734425,-0.04923275,-17.35588504,-6.76533513,1128918884449.982,56.2271,1201175115960.04,,2024-08-07T13:29:00.000Z,,,,,,2024-08-07 13:30:17.674443
1,1027,Ethereum,ETH,ethereum,9192,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120259132.65811664,120259132.65811664,True,,2,,,,2024-08-07T13:28:00.000Z,2462.2300570781586,23697423301.22068,-29.9537,-0.26354833,0.23378676,-26.06946199,-19.27554922,-32.96343562,-17.49787137,296105651068.96436,14.7479,296105651068.96,,2024-08-07T13:28:00.000Z,,,,,,2024-08-07 13:30:17.674443
2,825,Tether USDt,USDT,tether,93700,2015-02-25T00:00:00.000Z,"['stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'fiat-stablecoin']",,114551170628.49146,117068083201.87021,True,,3,,,,2024-08-07T13:28:00.000Z,1.0004912411584457,72556739211.55634,-31.7121,-0.01339036,0.01904033,0.10520612,0.01927141,0.08278506,0.0801578,114607442878.2523,5.7082,117125591862.68,,2024-08-07T13:28:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-08-07 13:30:17.674443
3,1839,BNB,BNB,bnb,2206,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,145936819.55949986,145936819.55949986,False,,4,,,,2024-08-07T13:28:00.000Z,489.64488018417524,1924466108.740273,-24.0757,-0.05244286,2.90324775,-16.54231861,-5.14254051,-27.84992286,-17.50178762,71457216527.67091,3.559,71457216527.67,,2024-08-07T13:28:00.000Z,,,,,,2024-08-07 13:30:17.674443
4,5426,Solana,SOL,solana,714,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okx-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,466354897.77589375,581806551.8200686,True,,5,,,,2024-08-07T13:28:00.000Z,152.82556803716815,5520751840.306504,-30.3409,0.30747638,9.65713159,-16.12116059,8.29470772,-3.83145806,6.38319871,71270952159.51645,3.546,88914916769.65,,2024-08-07T13:28:00.000Z,,,,,,2024-08-07 13:30:17.674443
5,3408,USDC,USDC,usd-coin,21391,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'base-ecosystem', 'fiat-stablecoin']",,34418439418.04683,34418439418.04683,False,,6,,,,2024-08-07T13:28:00.000Z,1.0000835709475189,9089869259.282162,-34.5835,0.00213543,0.00518715,0.02002125,-0.03183946,0.00996186,-0.00325369,34421315799.64111,1.7144,34421315799.64,,2024-08-07T13:28:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-08-07 13:30:17.674443
6,52,XRP,XRP,xrp,1361,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,55999283950.0,99987385748.0,False,,7,,,,2024-08-07T13:29:00.000Z,0.5123383652640872,1427051147.891509,-38.1055,-0.79262853,2.22077309,-21.46091693,16.4692226,4.13383233,-0.24359743,28690581594.902435,1.429,51233836526.41,,2024-08-07T13:29:00.000Z,,,,,,2024-08-07 13:30:17.674443
7,74,Dogecoin,DOGE,dogecoin,1034,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,145435696383.70526,145435696383.70526,True,,8,,,,2024-08-07T13:29:00.000Z,0.10082373082023596,985605088.553159,-40.9348,0.77353935,5.69166902,-20.35107546,-7.91208252,-30.08585477,-31.49664377,14663369503.844265,0.7303,14663369503.84,,2024-08-07T13:29:00.000Z,,,,,,2024-08-07 13:30:17.674443
8,11419,Toncoin,TON,toncoin,492,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2518260013.7773733,5110131070.83918,True,,9,3414166606.0,19432851788.124256,,2024-08-07T13:28:00.000Z,5.691828791826762,315133663.5935571,-39.6059,0.02117083,4.15446711,-16.66823324,-21.27068702,-19.38444194,-6.0828412,14333504851.724112,0.7139,29085991159.01,,2024-08-07T13:28:00.000Z,,,,,,2024-08-07 13:30:17.674443
9,2010,Cardano,ADA,cardano,1220,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35925617164.15,37102998493.685,False,,10,,,,2024-08-07T13:28:00.000Z,0.3343841729571593,330131891.40021557,-43.0709,-0.12542812,3.23545987,-17.36394051,-11.53033873,-22.93580698,-26.16732915,12012957783.409824,0.5983,15047287783.07,,2024-08-07T13:28:00.000Z,,,,,,2024-08-07 13:30:17.674443
10,1958,TRON,TRX,tron,1006,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87002933754.32945,87002981251.35948,True,,11,71659659264.0,8940188698.943222,,2024-08-07T13:28:00.000Z,0.12475901770627798,316347469.958866,-42.6749,0.21967323,1.61942675,-5.29162698,-0.71435703,10.46297044,-0.88454372,10854400552.754519,0.5406,10854406478.44,,2024-08-07T13:28:00.000Z,,,,,,2024-08-07 13:30:17.674443
11,5805,Avalanche,AVAX,avalanche,761,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",715748719.0,395071490.61797374,444417860.61797374,False,,12,,,,2024-08-07T13:28:00.000Z,20.96955821374545,308612615.5039745,-37.8023,-0.22465598,3.21292656,-21.0918629,-22.01371954,-34.91070618,-38.51570005,8284474621.10479,0.4126,15008934429.48,,2024-08-07T13:28:00.000Z,,,,,,2024-08-07 13:30:17.674443
12,5994,Shiba Inu,SHIB,shiba-inu,854,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589270512553780.6,589519077600533.2,False,,13,,,,2024-08-07T13:28:00.000Z,1.374861086527727e-05,317051349.9516602,-51.6419,0.09299886,3.23486565,-17.07327146,-17.31878818,-40.44464918,-39.28679713,8101650971.484414,0.4035,8105068395.59,,2024-08-07T13:28:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-08-07 13:30:17.674443
13,6636,Polkadot,DOT,polkadot-new,798,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1478142178.6255195,1478142178.6255195,True,,14,1478142178.6235194,6766115698.965853,,2024-08-07T13:29:00.000Z,4.577445794332598,190527838.40478194,-31.0205,0.19633991,5.61583252,-17.45560675,-25.4851537,-28.29683891,-33.71402978,6766115698.975008,0.337,6766115698.98,,2024-08-07T13:29:00.000Z,,,,,,2024-08-07 13:30:17.674443
14,1831,Bitcoin Cash,BCH,bitcoin-cash,909,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19743640.625,19743640.625,False,,15,,,,2024-08-07T13:28:00.000Z,325.67955524266443,280259865.7475327,-37.9185,0.33443042,4.64482381,-23.50522185,-2.95304303,-30.77250037,-27.27676894,6430100097.621001,0.3203,6839270660.1,,2024-08-07T13:28:00.000Z,,,,,,2024-08-07 13:30:17.674443
